scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,wet,Waterlogging stress,loss_pct,30,30,0.17043694557190023,0.05937644799028093,0.14918935653867826,0.1916845346051222,0.170 ? 0.059 (0.149-0.192)
historical,historical_1990_2019,1990,2019,whea,Wheat,total,Total,wet,Waterlogging stress,loss_million_tonnes,30,30,1.6756812669659458,0.5817179232405776,1.4675161815721827,1.8838463523597089,1.676 ? 0.582 (1.468-1.884)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,dry,Drought stress,loss_pct,10,10,2.408600463710151,0.361315981713514,2.1846544980921987,2.632546429328104,2.409 ? 0.361 (2.185-2.633)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,dry,Drought stress,loss_million_tonnes,10,10,30.830769421706417,4.613655544017849,27.97119608942873,33.690342753984105,30.831 ? 4.614 (27.971-33.690)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,total,Total water stress,loss_pct,10,10,4.847560552119462,0.3712210038827607,4.6174753901569705,5.077645714081953,4.848 ? 0.371 (4.617-5.078)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,total,Total water stress,loss_million_tonnes,10,10,62.12040118267239,4.7242291961096505,59.19229359079132,65.04850877455345,62.120 ? 4.724 (59.192-65.049)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,wet,Waterlogging stress,loss_pct,10,10,1.840797023944767,0.0616751468304418,1.802570371898903,1.8790236759906311,1.841 ? 0.062 (1.803-1.879)
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,10,23.664742906716555,0.8230120882693756,23.15463472952313,24.174851083909974,23.665 ? 0.823 (23.155-24.175)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,dry,Drought stress,loss_pct,10,10,1.9843237809707768,0.3350607787217955,1.7766509587620685,2.191996603179486,1.984 ? 0.335 (1.777-2.192)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,dry,Drought stress,loss_million_tonnes,10,10,10.509209980459136,1.775396821431477,9.40880763001518,11.609612330903092,10.509 ? 1.775 (9.409-11.610)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,total,Total water stress,loss_pct,10,10,4.991881914680198,0.3905406393737818,4.749822318581399,5.233941510778997,4.992 ? 0.391 (4.750-5.234)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,total,Total water stress,loss_million_tonnes,10,10,26.437221258295477,2.0688055832206445,25.154962273201622,27.719480243389324,26.437 ? 2.069 (25.155-27.719)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,wet,Waterlogging stress,loss_pct,10,10,1.560571201941341,0.0920673506542869,1.5035072668051723,1.6176351370775093,1.561 ? 0.092 (1.504-1.618)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,10,8.259501071362228,0.4973314134650323,7.951251867736143,8.567750274988313,8.260 ? 0.497 (7.951-8.568)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,dry,Drought stress,loss_pct,10,10,1.5968560468528543,0.1342857541996011,1.5136248740983391,1.6800872196073695,1.597 ? 0.134 (1.514-1.680)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,dry,Drought stress,loss_million_tonnes,10,10,3.397396585475968,0.2842643519653203,3.221207714754742,3.5735854561971943,3.397 ? 0.284 (3.221-3.574)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,total,Total water stress,loss_pct,10,10,7.475729746479866,0.26538117612242,7.311244789402362,7.640214703557369,7.476 ? 0.265 (7.311-7.640)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,total,Total water stress,loss_million_tonnes,10,10,15.748498653641732,0.6061389588551672,15.372809834686832,16.124187472596635,15.748 ? 0.606 (15.373-16.124)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,wet,Waterlogging stress,loss_pct,10,10,5.779968727502831,0.2536409945673408,5.622760410341485,5.9371770446641765,5.780 ? 0.254 (5.623-5.937)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,10,12.236921476637855,0.5845768863524956,11.87459696867865,12.59924598459706,12.237 ? 0.585 (11.875-12.599)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,total,Total,dry,Drought stress,loss_pct,10,10,1.7125750002154567,0.4274856540681022,1.4476166467706593,1.9775333536602544,1.713 ? 0.427 (1.448-1.978)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,total,Total,dry,Drought stress,loss_million_tonnes,10,10,2.4810150412740244,0.6169268294064045,2.0986398308783096,2.863390251669739,2.481 ? 0.617 (2.099-2.863)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,total,Total,total,Total water stress,loss_pct,10,10,3.0724597712805144,0.4204678791970793,2.811851079764668,3.333068462796361,3.072 ? 0.420 (2.812-3.333)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,total,Total,total,Total water stress,loss_million_tonnes,10,10,4.460698062150736,0.6039293166247626,4.086378793639221,4.835017330662251,4.461 ? 0.604 (4.086-4.835)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,total,Total,wet,Waterlogging stress,loss_pct,10,10,1.1093861983755644,0.0686670158247069,1.0668259410295162,1.1519464557216126,1.109 ? 0.069 (1.067-1.152)
