scenario,period,year_min,year_max,gcm,crop,crop_label,mode,mode_label,hazard,hazard_label,n_years,loss_pct,loss_million_tonnes,prod_nws_million_tonnes,expected_years
historical,historical_1990_2019,1990,2019,GSWP3,whea,Wheat,nonIrr,Rainfed,total,Total water stress,30,1.4424468818727274,12.461874400704403,864.6504015081467,30
historical,historical_1990_2019,1990,2019,GSWP3,whea,Wheat,nonIrr,Rainfed,wet,Waterlogging stress,30,0.19385305897190894,1.6756812669659458,864.6504015081467,30
historical,historical_1990_2019,1990,2019,GSWP3,whea,Wheat,total,Total,dry,Drought stress,30,1.1672579607888192,11.470068389135015,983.3349513673184,30
historical,historical_1990_2019,1990,2019,GSWP3,whea,Wheat,total,Total,total,Total water stress,30,1.3902759057955303,13.662949363692762,983.3349513673184,30
historical,historical_1990_2019,1990,2019,GSWP3,whea,Wheat,total,Total,wet,Waterlogging stress,30,0.17043694557190026,1.6756812669659458,983.3349513673184,30
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,all4,All four crops,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,235.4805812038794,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,all4,All four crops,Irr,Irrigated,total,Total water stress,31,6.44891004797692,15.167039827542954,235.4805812038794,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,235.4805812038794,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,31,3.31182277732636,34.589158050394246,1043.4708361212286,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,all4,All four crops,nonIrr,Rainfed,total,Total water stress,31,4.831130192383489,50.513340260731944,1043.4708361212286,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,31,2.1885073342189543,22.946251624109173,1043.4708361212286,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,all4,All four crops,total,Total,dry,Drought stress,31,2.7021810182215535,34.589158050394246,1278.951417325108,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,all4,All four crops,total,Total,total,Total water stress,31,5.12823087838104,65.6803800882749,1278.951417325108,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,all4,All four crops,total,Total,wet,Waterlogging stress,31,1.785426448442219,22.946251624109173,1278.951417325108,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,maiz,Maize,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,123.65983796511593,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,maiz,Maize,Irr,Irrigated,total,Total water stress,31,8.184823833113887,10.111964967169763,123.65983796511593,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,maiz,Maize,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,123.65983796511593,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,maiz,Maize,nonIrr,Rainfed,dry,Drought stress,31,2.90279934864212,11.762008147024847,405.0408679035911,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,maiz,Maize,nonIrr,Rainfed,total,Total water stress,31,4.298978467798752,17.419597354926886,405.0408679035911,31
