scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,dry,Drought stress,loss_pct,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,total,Total water stress,loss_pct,30,30,1.9727424739557016,0.5077889329477976,1.79103253797807,2.154452409933333,1.973 ? 0.508 (1.791-2.154)
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,total,Total water stress,loss_million_tonnes,30,30,6.807479492017604,1.9774560462183848,6.099855933798263,7.515103050236945,6.807 ? 1.977 (6.100-7.515)
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,loss_pct,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,all4,All four crops,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,loss_pct,30,30,1.1990609812875215,0.42392343102388,1.0473619297473686,1.3507600328276743,1.199 ? 0.424 (1.047-1.351)
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,30,30,18.743984580183202,6.522891051359653,16.409797995117398,21.078171165249007,18.744 ? 6.523 (16.410-21.078)
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,total,Total water stress,loss_pct,30,30,1.6048733302188958,0.48857242398393197,1.4300399336594571,1.7797067267783344,1.605 ? 0.489 (1.430-1.780)
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,30,30,25.099569570544983,7.56413392620508,22.392779008021524,27.80636013306844,25.100 ? 7.564 (22.393-27.806)
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,30,30,0.4278298287772892,0.15807975780815373,0.37126171394278945,0.48439794361178895,0.428 ? 0.158 (0.371-0.484)
historical,historical_1990_2019,1990,2019,all4,All four crops,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,30,30,6.695646121989913,2.48903321463411,5.804957025140576,7.586335218839251,6.696 ? 2.489 (5.805-7.586)
