scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
historical,historical_1990_2019,1990,2019,rice,Rice,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,1,2.800169690298423,,,,2.800
historical,historical_1990_2019,1990,2019,rice,Rice,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,1,1.6236226896493664,,,,1.624
historical,historical_1990_2019,1990,2019,rice,Rice,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,1,2.2571836242521646,,,,2.257
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,dry,Drought stress,loss_pct,1,0.15120046959182645,,,,0.151
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,dry,Drought stress,loss_million_tonnes,1,0.35161649206904205,,,,0.352
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,total,Total water stress,loss_pct,1,2.1780351695373326,,,,2.178
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,total,Total water stress,loss_million_tonnes,1,5.13355210279725,,,,5.134
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,wet,Waterlogging stress,loss_pct,1,0.9538674845224571,,,,0.954
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,wet,Waterlogging stress,loss_million_tonnes,1,2.2571836242521646,,,,2.257
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,dry,Drought stress,loss_pct,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,total,Total water stress,loss_pct,1,2.5980695947757484,,,,2.598
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,total,Total water stress,loss_million_tonnes,1,0.2517543921729283,,,,0.252
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,wet,Waterlogging stress,loss_pct,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,dry,Drought stress,loss_pct,1,0.9329525142369165,,,,0.933
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,1,1.1749637906907464,,,,1.175
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,total,Total water stress,loss_pct,1,1.4180891032318281,,,,1.418
