level,scenario,crop,hazard,mean_unweighted_grid_pct_points,median_grid_pct_points,p05_grid_pct_points,p95_grid_pct_points
all4,ssp126,all4,all,16.93756866455078,7.638272285461426,0.0,78.35072326660156
all4,ssp126,all4,dry,13.907822608947754,4.369551181793213,-0.3912490904331207,71.04360961914062
all4,ssp126,all4,wet,3.029744863510132,0.08440783619880676,-0.7441620826721191,15.335134506225586
all4,ssp585,all4,all,22.75708770751953,10.514554977416992,0.0,104.63336944580078
all4,ssp585,all4,dry,19.827838897705078,6.8535990715026855,0.0,97.70075225830078
all4,ssp585,all4,wet,2.929248809814453,0.052411749958992004,-0.7718769311904907,15.313541412353516
crop_hazard,ssp126,maiz,dry,15.215357780456543,3.9200572967529297,-2.0277090072631836,71.69540405273438
crop_hazard,ssp126,maiz,wet,3.6005818843841553,0.0,-0.47325101494789124,18.448566436767578
crop_hazard,ssp126,rice,dry,15.75862979888916,0.007479940075427294,-2.394942283630371,108.34803771972656
crop_hazard,ssp126,rice,wet,3.9105224609375,0.0013443130301311612,-0.4415724277496338,19.245576858520508
crop_hazard,ssp126,soyb,dry,19.906892776489258,4.712823390960693,-11.016159057617188,97.43658447265625
crop_hazard,ssp126,soyb,wet,3.393883228302002,0.0,-1.7401424646377563,20.201013565063477
crop_hazard,ssp126,whea,dry,5.072723388671875,1.513038992881775,-2.170290231704712,23.2569580078125
crop_hazard,ssp126,whea,wet,0.8710992336273193,0.0,-1.2335947751998901,6.434062957763672
crop_hazard,ssp585,maiz,dry,21.346097946166992,6.445769786834717,-1.3790394067764282,99.7409439086914
crop_hazard,ssp585,maiz,wet,3.4412055015563965,0.0,-0.5719500780105591,18.00439453125
crop_hazard,ssp585,rice,dry,21.56873321533203,0.011825032532215118,-3.8275938034057617,150.21575927734375
crop_hazard,ssp585,rice,wet,3.7840845584869385,0.0,-0.5271255373954773,18.774263381958008
crop_hazard,ssp585,soyb,dry,27.72555923461914,7.2108073234558105,-12.102272033691406,141.740478515625
crop_hazard,ssp585,soyb,wet,3.021592617034912,0.0,-1.8171837329864502,19.349485397338867
crop_hazard,ssp585,whea,dry,7.951322078704834,3.2389538288116455,-1.0720090866088867,32.3508186340332
crop_hazard,ssp585,whea,wet,1.053511381149292,0.0,-1.2246354818344116,7.37835168838501
