scenario,gcm,crop,hazard,fut_anchor,hist_anchor,bias_offset
ssp126,CNRM-CM6-1,maiz,dry,1.6705377569739333,1.227975369268972,-0.44256238770496115
ssp126,CNRM-CM6-1,maiz,wet,0.5323272218443152,0.5909455911892417,0.05861836934492648
ssp126,CNRM-CM6-1,rice,dry,0.5608067007674724,0.22202160235099372,-0.3387850984164787
ssp126,CNRM-CM6-1,rice,wet,1.3305412861389896,1.5539773327728472,0.22343604663385763
ssp126,CNRM-CM6-1,soyb,dry,1.8593203850310307,0.745886796197771,-1.1134335888332596
ssp126,CNRM-CM6-1,soyb,wet,0.48647047310413516,0.6392512212689226,0.15278074816478748
ssp126,CNRM-CM6-1,whea,dry,2.931059726783226,1.544677140010987,-1.3863825867722388
ssp126,CNRM-CM6-1,whea,wet,0.09416459060702828,0.20894466264059597,0.11478007203356769
ssp126,CNRM-ESM2-1,maiz,dry,1.2991671976588315,1.227975369268972,-0.07119182838985938
ssp126,CNRM-ESM2-1,maiz,wet,0.6370032261574359,0.5909455911892417,-0.04605763496819415
ssp126,CNRM-ESM2-1,rice,dry,0.6116121015381883,0.22202160235099372,-0.3895904991871946
ssp126,CNRM-ESM2-1,rice,wet,1.4608028334530523,1.5539773327728472,0.09317449931979493
ssp126,CNRM-ESM2-1,soyb,dry,0.9475015715998835,0.745886796197771,-0.20161477540211248
ssp126,CNRM-ESM2-1,soyb,wet,0.38568327358007215,0.6392512212689226,0.2535679476888505
ssp126,CNRM-ESM2-1,whea,dry,2.4018075711039604,1.544677140010987,-0.8571304310929733
ssp126,CNRM-ESM2-1,whea,wet,0.09115547986311798,0.20894466264059597,0.11778918277747799
ssp126,CanESM5,maiz,dry,1.2545042655268386,1.227975369268972,-0.026528896257866474
ssp126,CanESM5,maiz,wet,0.6705383121680317,0.5909455911892417,-0.07959272097879
ssp126,CanESM5,rice,dry,0.8606765179046507,0.22202160235099372,-0.6386549155536569
ssp126,CanESM5,rice,wet,2.751376135342191,1.5539773327728472,-1.1973988025693436
ssp126,CanESM5,soyb,dry,1.2511985264420245,0.745886796197771,-0.5053117302442535
ssp126,CanESM5,soyb,wet,0.5046818158047642,0.6392512212689226,0.1345694054641584
ssp126,CanESM5,whea,dry,2.7117963269508762,1.544677140010987,-1.1671191869398891
ssp126,CanESM5,whea,wet,0.1460399703842976,0.20894466264059597,0.06290469225629836
ssp126,EC-Earth3,maiz,dry,1.081391297058866,1.227975369268972,0.14658407221010616
ssp126,EC-Earth3,maiz,wet,0.6965620976380806,0.5909455911892417,-0.10561650644883891
ssp126,EC-Earth3,rice,dry,0.38000802230844605,0.22202160235099372,-0.15798641995745233
ssp126,EC-Earth3,rice,wet,1.993834975611889,1.5539773327728472,-0.4398576428390417
ssp126,EC-Earth3,soyb,dry,0.8948986783173648,0.745886796197771,-0.14901188211959382
ssp126,EC-Earth3,soyb,wet,0.556277108756816,0.6392512212689226,0.08297411251210662
ssp126,EC-Earth3,whea,dry,1.5340557370746741,1.544677140010987,0.010621402936312974
ssp126,EC-Earth3,whea,wet,0.17011489228845642,0.20894466264059597,0.03882977035213955
ssp126,GFDL-ESM4,maiz,dry,1.4522493670931187,1.227975369268972,-0.2242739978241466
ssp126,GFDL-ESM4,maiz,wet,0.5300021780967171,0.5909455911892417,0.0609434130925246
ssp126,GFDL-ESM4,rice,dry,0.5437679512440513,0.22202160235099372,-0.3217463488930576
ssp126,GFDL-ESM4,rice,wet,1.3271809171130318,1.5539773327728472,0.22679641565981545
ssp126,GFDL-ESM4,soyb,dry,1.527047197264769,0.745886796197771,-0.781160401066998
ssp126,GFDL-ESM4,soyb,wet,0.40581598775879923,0.6392512212689226,0.2334352335101234
ssp126,GFDL-ESM4,whea,dry,2.9690313894603455,1.544677140010987,-1.4243542494493584
ssp126,GFDL-ESM4,whea,wet,0.06984022446233716,0.20894466264059597,0.1391044381782588
ssp126,MIROC6,maiz,dry,1.167396111370865,1.227975369268972,0.06057925789810703
ssp126,MIROC6,maiz,wet,0.5954268951465014,0.5909455911892417,-0.0044813039572596525
ssp126,MIROC6,rice,dry,0.527363169833672,0.22202160235099372,-0.3053415674826783
ssp126,MIROC6,rice,wet,2.013736863704487,1.5539773327728472,-0.45975953093163957
ssp126,MIROC6,soyb,dry,1.1771684922950907,0.745886796197771,-0.4312816960973197
ssp126,MIROC6,soyb,wet,0.4775331059167197,0.6392512212689226,0.16171811535220293
ssp126,MIROC6,whea,dry,2.803863614662002,1.544677140010987,-1.2591864746510149
ssp126,MIROC6,whea,wet,0.0621612650206221,0.20894466264059597,0.14678339761997386
ssp126,MPI-ESM1-2-HR,maiz,dry,1.2963630795020635,1.227975369268972,-0.06838771023309143
ssp126,MPI-ESM1-2-HR,maiz,wet,0.5827522110812347,0.5909455911892417,0.008193380108007076
ssp126,MPI-ESM1-2-HR,rice,dry,0.6799370011693128,0.22202160235099372,-0.45791539881831905
ssp126,MPI-ESM1-2-HR,rice,wet,1.732826410183613,1.5539773327728472,-0.17884907741076583
