crop,hazard,year,value,q25,q75,scenario,n_gcm,value_smooth,q25_smooth,q75_smooth
maiz,dry,1980,0.8510566090491575,0.8510566090491575,0.8510566090491575,historical,1,0.5617209312054726,0.5617209312054726,0.5617209312054726
maiz,dry,1981,0.4120970358616812,0.4120970358616812,0.4120970358616812,historical,1,0.7584738841599675,0.7584738841599675,0.7584738841599675
maiz,dry,1982,0.4220091487055794,0.4220091487055794,0.4220091487055794,historical,1,0.7299311146419121,0.7299311146419121,0.7299311146419121
maiz,dry,1983,1.348732743023452,1.348732743023452,1.348732743023452,historical,1,0.6525585224307214,0.6525585224307214,0.6525585224307214
maiz,dry,1984,0.6157600365696903,0.6157600365696903,0.6157600365696903,historical,1,0.6625613211874295,0.6625613211874295,0.6625613211874295
maiz,dry,1985,0.4641936479932045,0.4641936479932045,0.4641936479932045,historical,1,0.7323533589094298,0.7323533589094298,0.7323533589094298
maiz,dry,1986,0.462111029645221,0.462111029645221,0.462111029645221,historical,1,0.7466251188409324,0.7466251188409324,0.7466251188409324
maiz,dry,1987,0.7709693373155811,0.7709693373155811,0.7709693373155811,historical,1,0.7496920989242097,0.7496920989242097,0.7496920989242097
maiz,dry,1988,1.4200915426809653,1.4200915426809653,1.4200915426809653,historical,1,0.8109464426498152,0.8109464426498152,0.8109464426498152
maiz,dry,1989,0.6310949369860765,0.6310949369860765,0.6310949369860765,historical,1,0.857554743157815,0.857554743157815,0.857554743157815
maiz,dry,1990,0.7704653666212319,0.7704653666212319,0.7704653666212319,historical,1,0.9272376788253345,0.9272376788253345,0.9272376788253345
maiz,dry,1991,0.69515253218522,0.69515253218522,0.69515253218522,historical,1,0.8106536535257369,0.8106536535257369,0.8106536535257369
maiz,dry,1992,1.119384015653179,1.119384015653179,1.119384015653179,historical,1,0.8761371962719225,0.8761371962719225,0.8761371962719225
maiz,dry,1993,0.8371714161829772,0.8371714161829772,0.8371714161829772,historical,1,0.8838085849710442,0.8838085849710442,0.8838085849710442
maiz,dry,1994,0.958512650717005,0.958512650717005,0.958512650717005,historical,1,0.8596711861465478,0.8596711861465478,0.8596711861465478
maiz,dry,1995,0.80882231011684,0.80882231011684,0.80882231011684,historical,1,0.720512088134902,0.720512088134902,0.720512088134902
maiz,dry,1996,0.5744655380627378,0.5744655380627378,0.5744655380627378,historical,1,0.6948226774094705,0.6948226774094705,0.6948226774094705
maiz,dry,1997,0.42358852559495,0.42358852559495,0.42358852559495,historical,1,0.6504005989870454,0.6504005989870454,0.6504005989870454
maiz,dry,1998,0.7087243625558197,0.7087243625558197,0.7087243625558197,historical,1,0.7111200599472384,0.7111200599472384,0.7111200599472384
maiz,dry,1999,0.7364022586048796,0.7364022586048796,0.7364022586048796,historical,1,0.7488907690255342,0.7488907690255342,0.7488907690255342
maiz,dry,2000,1.112419614917805,1.112419614917805,1.112419614917805,historical,1,0.9824772176509237,0.9824772176509237,0.9824772176509237
maiz,dry,2001,0.7633190834542168,0.7633190834542168,0.7633190834542168,historical,1,1.159647148947624,1.159647148947624,1.159647148947624
maiz,dry,2002,1.5915207687218973,1.5915207687218973,1.5915207687218973,historical,1,1.1418373217583944,1.1418373217583944,1.1418373217583944
maiz,dry,2003,1.5945740190393207,1.5945740190393207,1.5945740190393207,historical,1,1.1348133715000086,1.1348133715000086,1.1348133715000086
maiz,dry,2004,0.6473531226587319,0.6473531226587319,0.6473531226587319,historical,1,1.158420367538499,1.158420367538499,1.158420367538499
maiz,dry,2005,1.0772998636258757,1.0772998636258757,1.0772998636258757,historical,1,1.1584585015207272,1.1584585015207272,1.1584585015207272
