scenario,period,crop,crop_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high
ssp126,mid_2050_2079,whea,Wheat,loss_million_tonnes,9,9,15.009562142925514,2.277747125768135,13.521434020756999,16.49769026509403
ssp126,near_2020_2049,all4,Four crops,loss_pct,9,9,3.265367737099469,0.24405007099122555,3.1059216907185347,3.424813783480403
ssp126,near_2020_2049,all4,Four crops,loss_million_tonnes,9,9,41.64248038210657,3.041642343498235,39.65527405102105,43.629686713192086
ssp126,near_2020_2049,maiz,Maize,loss_pct,9,9,3.3817170619068206,0.27612617454671895,3.201314627869631,3.5621194959440103
ssp126,near_2020_2049,maiz,Maize,loss_million_tonnes,9,9,17.823225271979073,1.45243158434667,16.87430330353925,18.772147240418896
ssp126,near_2020_2049,rice,Rice,loss_pct,9,9,3.88129856225605,0.3411145948012398,3.6584370269859066,4.104160097526194
ssp126,near_2020_2049,rice,Rice,loss_million_tonnes,9,9,8.072551440557348,0.7256828393394832,7.598438652188886,8.54666422892581
ssp126,near_2020_2049,soyb,Soybean,loss_pct,9,9,2.0188862971814654,0.40922586490072566,1.751525398779658,2.2862471955832726
ssp126,near_2020_2049,soyb,Soybean,loss_million_tonnes,9,9,2.940332571400991,0.5856546964525626,2.5577048363853168,3.3229603064166655
ssp126,near_2020_2049,whea,Wheat,loss_pct,9,9,3.2379105943979667,0.41809231024564897,2.9647569517041426,3.511064237091791
ssp126,near_2020_2049,whea,Wheat,loss_million_tonnes,9,9,12.806371098169157,1.6259136972789219,11.744107482613595,13.868634713724719
ssp585,future_2020_2100,all4,Four crops,loss_pct,9,9,4.148135847267265,0.3462813201835268,3.921898718080694,4.374372976453836
ssp585,future_2020_2100,all4,Four crops,loss_million_tonnes,9,9,54.436418581260554,4.501758666014911,51.49526958613081,57.3775675763903
ssp585,future_2020_2100,maiz,Maize,loss_pct,9,9,4.276325752148031,0.298554531171222,4.081270125116166,4.4713813791798955
ssp585,future_2020_2100,maiz,Maize,loss_million_tonnes,9,9,23.62765592048961,1.6506415601310636,22.549236767870646,24.706075073108572
ssp585,future_2020_2100,rice,Rice,loss_pct,9,9,5.528490238758746,0.4164100045244139,5.256435702469462,5.80054477504803
ssp585,future_2020_2100,rice,Rice,loss_million_tonnes,9,9,11.623329548838152,0.9578233828086075,10.997551605403196,12.249107492273108
ssp585,future_2020_2100,soyb,Soybean,loss_pct,9,9,2.4774861147837877,0.4006555011564426,2.215724520694912,2.7392477088726634
ssp585,future_2020_2100,soyb,Soybean,loss_million_tonnes,9,9,3.673330612664393,0.5852770751790727,3.2909495902140655,4.05571163511472
ssp585,future_2020_2100,whea,Wheat,loss_pct,9,9,3.8638444126035147,0.7472934770635836,3.375612674255307,4.3520761509517225
ssp585,future_2020_2100,whea,Wheat,loss_million_tonnes,9,9,15.512102499268403,2.9727556414438947,13.569902146858393,17.454302851678413
ssp585,late_2080_2100,all4,Four crops,loss_pct,10,10,5.230407353287618,0.5863233007472632,4.867000406472124,5.593814300103112
ssp585,late_2080_2100,all4,Four crops,loss_million_tonnes,10,10,68.68979923619337,7.6858003832479636,63.92609080511148,73.45350766727525
ssp585,late_2080_2100,maiz,Maize,loss_pct,10,10,5.454469872645214,0.4554981697383688,5.172149182108614,5.736790563181815
ssp585,late_2080_2100,maiz,Maize,loss_million_tonnes,10,10,30.154011400703787,2.5184104736111714,28.59308441745619,31.714938383951385
ssp585,late_2080_2100,rice,Rice,loss_pct,10,10,7.31540108443073,0.5698259061173063,6.962219328743137,7.668582840118322
ssp585,late_2080_2100,rice,Rice,loss_million_tonnes,10,10,15.542516963464237,1.3532084032661031,14.703789705636936,16.38124422129154
ssp585,late_2080_2100,soyb,Soybean,loss_pct,10,10,3.1605774756527603,0.6238459236810359,2.773913766195405,3.5472411851101153
ssp585,late_2080_2100,soyb,Soybean,loss_million_tonnes,10,10,4.673493588045128,0.9070847854422843,4.111276613280106,5.23571056281015
ssp585,late_2080_2100,whea,Wheat,loss_pct,10,10,4.576827856423857,1.2024032581801365,3.83157059589994,5.322085116947774
ssp585,late_2080_2100,whea,Wheat,loss_million_tonnes,10,10,18.319777283980223,4.791377855994613,15.350050521514525,21.28950404644592
ssp585,mid_2050_2079,all4,Four crops,loss_pct,9,9,4.424197785714323,0.40640805170839106,4.158677858598175,4.689717712830472
ssp585,mid_2050_2079,all4,Four crops,loss_million_tonnes,9,9,58.15082100090914,5.296212372857668,54.6906289173088,61.61101308450948
ssp585,mid_2050_2079,maiz,Maize,loss_pct,9,9,4.588068201217504,0.3592244822496066,4.3533748728144275,4.82276152962058
ssp585,mid_2050_2079,maiz,Maize,loss_million_tonnes,9,9,25.40331087129963,1.988082200121866,24.104430500553345,26.702191242045917
ssp585,mid_2050_2079,rice,Rice,loss_pct,9,9,5.919670799685974,0.42490143080994197,5.642068531556812,6.197273067815137
ssp585,mid_2050_2079,rice,Rice,loss_million_tonnes,9,9,12.436127891010786,0.9653482016274375,11.805433732614194,13.066822049407378
ssp585,mid_2050_2079,soyb,Soybean,loss_pct,9,9,2.5915202400967376,0.4831016563924976,2.2758938245869724,2.907146655606503
ssp585,mid_2050_2079,soyb,Soybean,loss_million_tonnes,9,9,3.852993798364368,0.708401167498697,3.3901717022652194,4.315815894463517
ssp585,mid_2050_2079,whea,Wheat,loss_pct,9,9,4.095155262015557,0.9115776353832369,3.4995912068985087,4.690719317132605
ssp585,mid_2050_2079,whea,Wheat,loss_million_tonnes,9,9,16.45838844023436,3.6436965801012082,14.07784000790157,18.838936872567146
