scenario,period,crop,crop_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high
ssp126,near_2020_2049,soyb,Soybean,loss_million_tonnes,270,270,2.940332571400991,1.5174307442453088,2.7593306987091006,3.1213344440928816
ssp126,near_2020_2049,whea,Wheat,loss_pct,270,270,3.2379105943979667,1.2520134474116327,3.088568174998363,3.3872530137975705
ssp126,near_2020_2049,whea,Wheat,loss_million_tonnes,270,270,12.806371098169155,4.934431511426294,12.217783218540923,13.394958977797387
ssp585,future_2020_2100,all4,Four crops,loss_pct,760,760,4.214402366893555,1.1775175811902072,4.130684785047988,4.298119948739123
ssp585,future_2020_2100,all4,Four crops,loss_million_tonnes,760,760,55.32683407328188,16.0388030339275,54.18652854651381,56.46713960004995
ssp585,future_2020_2100,maiz,Maize,loss_pct,760,760,4.33827255826935,1.2756217600887898,4.2475800957446905,4.428965020794009
ssp585,future_2020_2100,maiz,Maize,loss_million_tonnes,760,760,23.97665374572388,7.221918367081035,23.463199380679924,24.490108110767835
ssp585,future_2020_2100,rice,Rice,loss_pct,760,760,5.597231627865954,1.8831806242963138,5.463343751741711,5.731119503990197
ssp585,future_2020_2100,rice,Rice,loss_million_tonnes,760,760,11.787429409464815,4.6847411632096625,11.454359901186322,12.120498917743308
ssp585,future_2020_2100,soyb,Soybean,loss_pct,760,760,2.5068436647535988,1.211780318527798,2.4206901162922176,2.59299721321498
ssp585,future_2020_2100,soyb,Soybean,loss_million_tonnes,760,760,3.717282750292374,1.7880661062094583,3.5901571999115727,3.8444083006731753
ssp585,future_2020_2100,whea,Wheat,loss_pct,760,760,3.946860909597881,1.5988723071430155,3.833186408790377,4.060535410405385
ssp585,future_2020_2100,whea,Wheat,loss_million_tonnes,760,760,15.845468167800812,6.40249378185897,15.390272164139672,16.300664171461953
ssp585,late_2080_2100,all4,Four crops,loss_pct,210,210,5.230407353287619,0.8812462612762746,5.111216285223249,5.349598421351989
ssp585,late_2080_2100,all4,Four crops,loss_million_tonnes,210,210,68.68979923619338,12.627117513076465,66.981945609923,70.39765286246376
ssp585,late_2080_2100,maiz,Maize,loss_pct,210,210,5.454469872645215,0.9051059285788257,5.332051716586925,5.576888028703506
ssp585,late_2080_2100,maiz,Maize,loss_million_tonnes,210,210,30.154011400703794,5.285523405662702,29.43912929829603,30.868893503111558
ssp585,late_2080_2100,rice,Rice,loss_pct,210,210,7.315401084430728,1.2564697173373267,7.14545997468567,7.485342194175786
ssp585,late_2080_2100,rice,Rice,loss_million_tonnes,210,210,15.542516963464234,4.146881849392195,14.981639376250447,16.10339455067802
ssp585,late_2080_2100,soyb,Soybean,loss_pct,210,210,3.1605774756527603,1.2506974209881248,2.9914170854378472,3.3297378658676733
ssp585,late_2080_2100,soyb,Soybean,loss_million_tonnes,210,210,4.673493588045128,1.843192923818895,4.424196492678741,4.922790683411515
ssp585,late_2080_2100,whea,Wheat,loss_pct,210,210,4.576827856423858,1.692782013465516,4.3478742652983735,4.805781447549342
ssp585,late_2080_2100,whea,Wheat,loss_million_tonnes,210,210,18.319777283980223,6.73750913357984,17.408509974247977,19.23104459371247
ssp585,mid_2050_2079,all4,Four crops,loss_pct,280,280,4.457035869195612,0.8228539515691453,4.36065300794212,4.553418730449104
ssp585,mid_2050_2079,all4,Four crops,loss_million_tonnes,280,280,58.59216047175783,11.587697086516833,57.234865658495465,59.94945528502019
ssp585,mid_2050_2079,maiz,Maize,loss_pct,280,280,4.612482232142936,0.8705337117511451,4.510514525970783,4.714449938315089
ssp585,mid_2050_2079,maiz,Maize,loss_million_tonnes,280,280,25.539546787813514,5.085834619742656,24.94383075390726,26.135262821719767
ssp585,mid_2050_2079,rice,Rice,loss_pct,280,280,5.943785680982087,1.265020357372649,5.795610805774911,6.091960556189263
ssp585,mid_2050_2079,rice,Rice,loss_million_tonnes,280,280,12.500188686847205,3.5052002292362006,12.089616158495204,12.910761215199205
ssp585,mid_2050_2079,soyb,Soybean,loss_pct,280,280,2.5919857888700637,1.1267162202864291,2.460010809683493,2.7239607680566342
ssp585,mid_2050_2079,soyb,Soybean,loss_million_tonnes,280,280,3.852753130749318,1.6757169249860986,3.656472379380172,4.049033882118463
ssp585,mid_2050_2079,whea,Wheat,loss_pct,280,280,4.154742975765784,1.4961197957345151,3.979498867846149,4.3299870836854195
ssp585,mid_2050_2079,whea,Wheat,loss_million_tonnes,280,280,16.69967186634778,6.0017142659337015,15.996676647969737,17.402667084725827
ssp585,near_2020_2049,all4,Four crops,loss_pct,270,270,3.172556338051594,0.8062123364933474,3.0763898782338996,3.2687227978692883
ssp585,near_2020_2049,all4,Four crops,loss_million_tonnes,270,270,41.54715231111641,11.026954305019885,40.23183733752323,42.862467284709595
ssp585,near_2020_2049,maiz,Maize,loss_pct,270,270,3.1857535038118105,0.8858023384140706,3.080093405190609,3.2914136024330123
ssp585,near_2020_2049,maiz,Maize,loss_million_tonnes,270,270,17.55126426672063,4.985690428044481,16.95656213117974,18.145966402261518
ssp585,near_2020_2049,rice,Rice,loss_pct,270,270,3.9014882176766217,1.3431609363647612,3.741273561600487,4.061702873752757
ssp585,near_2020_2049,rice,Rice,loss_million_tonnes,270,270,8.127647987216859,3.292348561469156,7.734930719927833,8.520365254505885
ssp585,near_2020_2049,soyb,Soybean,loss_pct,270,270,1.9100884979334725,0.9552851523103639,1.7961403641035298,2.024036631763415
ssp585,near_2020_2049,soyb,Soybean,loss_million_tonnes,270,270,2.8330754078626605,1.3969298557760077,2.6664470982191633,2.999703717506158
ssp585,near_2020_2049,whea,Wheat,loss_pct,270,270,3.2413052156702236,1.3455902648210751,3.0808007849195977,3.4018096464208494
ssp585,near_2020_2049,whea,Wheat,loss_million_tonnes,270,270,13.035164649316265,5.437513690030549,12.386568221165724,13.683761077466805
