scenario,period,crop,crop_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
ssp126,mid_2050_2079,all4,Four crops,loss_million_tonnes,9,9,54.25423236799586,3.688268942783145,51.84456332537754,56.66390141061418,54.25 ? 3.69 (51.84-56.66)
ssp126,mid_2050_2079,maiz,Maize,loss_pct,9,9,4.387003212608825,0.2402100209219592,4.230065998939812,4.543940426277838,4.39 ? 0.24 (4.23-4.54)
ssp126,mid_2050_2079,maiz,Maize,loss_million_tonnes,9,9,23.23060181208829,1.2728615912525014,22.39899890580332,24.062204718373252,23.23 ? 1.27 (22.40-24.06)
ssp126,mid_2050_2079,rice,Rice,loss_pct,9,9,5.895043112813839,0.3327195552898286,5.677666336691152,6.112419888936527,5.90 ? 0.33 (5.68-6.11)
ssp126,mid_2050_2079,rice,Rice,loss_million_tonnes,9,9,12.399787163171435,0.7439235214236524,11.913757129174648,12.885817197168222,12.40 ? 0.74 (11.91-12.89)
ssp126,mid_2050_2079,soyb,Soybean,loss_pct,9,9,2.495842714175302,0.4118813741778382,2.2267468830457813,2.764938545304823,2.50 ? 0.41 (2.23-2.76)
ssp126,mid_2050_2079,soyb,Soybean,loss_million_tonnes,9,9,3.614281249810624,0.5839328231565306,3.232778472015024,3.995784027606224,3.61 ? 0.58 (3.23-4.00)
ssp126,mid_2050_2079,whea,Wheat,loss_pct,9,9,3.787047238266093,0.5781692491620338,3.40930999548023,4.164784481051955,3.79 ? 0.58 (3.41-4.16)
ssp126,mid_2050_2079,whea,Wheat,loss_million_tonnes,9,9,15.009562142925514,2.277747125768135,13.521434020757,16.49769026509403,15.01 ? 2.28 (13.52-16.50)
ssp126,near_2020_2049,all4,Four crops,loss_pct,9,9,3.265367737099469,0.2440500709912255,3.1059216907185347,3.424813783480403,3.27 ? 0.24 (3.11-3.42)
ssp126,near_2020_2049,all4,Four crops,loss_million_tonnes,9,9,41.64248038210657,3.041642343498235,39.65527405102105,43.629686713192086,41.64 ? 3.04 (39.66-43.63)
ssp126,near_2020_2049,maiz,Maize,loss_pct,9,9,3.3817170619068206,0.2761261745467189,3.201314627869631,3.5621194959440103,3.38 ? 0.28 (3.20-3.56)
ssp126,near_2020_2049,maiz,Maize,loss_million_tonnes,9,9,17.823225271979073,1.45243158434667,16.87430330353925,18.772147240418896,17.82 ? 1.45 (16.87-18.77)
ssp126,near_2020_2049,rice,Rice,loss_pct,9,9,3.88129856225605,0.3411145948012398,3.6584370269859066,4.104160097526194,3.88 ? 0.34 (3.66-4.10)
ssp126,near_2020_2049,rice,Rice,loss_million_tonnes,9,9,8.072551440557348,0.7256828393394832,7.598438652188886,8.54666422892581,8.07 ? 0.73 (7.60-8.55)
ssp126,near_2020_2049,soyb,Soybean,loss_pct,9,9,2.0188862971814654,0.4092258649007256,1.751525398779658,2.2862471955832726,2.02 ? 0.41 (1.75-2.29)
ssp126,near_2020_2049,soyb,Soybean,loss_million_tonnes,9,9,2.940332571400991,0.5856546964525626,2.5577048363853168,3.322960306416665,2.94 ? 0.59 (2.56-3.32)
ssp126,near_2020_2049,whea,Wheat,loss_pct,9,9,3.2379105943979667,0.4180923102456489,2.9647569517041426,3.511064237091791,3.24 ? 0.42 (2.96-3.51)
ssp126,near_2020_2049,whea,Wheat,loss_million_tonnes,9,9,12.806371098169157,1.625913697278922,11.744107482613597,13.86863471372472,12.81 ? 1.63 (11.74-13.87)
ssp585,future_2020_2100,all4,Four crops,loss_pct,9,9,4.148135847267265,0.3462813201835268,3.921898718080694,4.374372976453836,4.15 ? 0.35 (3.92-4.37)
ssp585,future_2020_2100,all4,Four crops,loss_million_tonnes,9,9,54.43641858126056,4.501758666014911,51.49526958613081,57.3775675763903,54.44 ? 4.50 (51.50-57.38)
ssp585,future_2020_2100,maiz,Maize,loss_pct,9,9,4.276325752148031,0.298554531171222,4.081270125116166,4.471381379179896,4.28 ? 0.30 (4.08-4.47)
ssp585,future_2020_2100,maiz,Maize,loss_million_tonnes,9,9,23.62765592048961,1.6506415601310636,22.54923676787065,24.70607507310857,23.63 ? 1.65 (22.55-24.71)
ssp585,future_2020_2100,rice,Rice,loss_pct,9,9,5.528490238758746,0.4164100045244139,5.256435702469462,5.80054477504803,5.53 ? 0.42 (5.26-5.80)
ssp585,future_2020_2100,rice,Rice,loss_million_tonnes,9,9,11.623329548838152,0.9578233828086076,10.997551605403196,12.249107492273108,11.62 ? 0.96 (11.00-12.25)
ssp585,future_2020_2100,soyb,Soybean,loss_pct,9,9,2.477486114783788,0.4006555011564426,2.215724520694912,2.7392477088726634,2.48 ? 0.40 (2.22-2.74)
ssp585,future_2020_2100,soyb,Soybean,loss_million_tonnes,9,9,3.673330612664393,0.5852770751790727,3.290949590214065,4.05571163511472,3.67 ? 0.59 (3.29-4.06)
ssp585,future_2020_2100,whea,Wheat,loss_pct,9,9,3.8638444126035143,0.7472934770635836,3.375612674255307,4.3520761509517225,3.86 ? 0.75 (3.38-4.35)
ssp585,future_2020_2100,whea,Wheat,loss_million_tonnes,9,9,15.512102499268403,2.9727556414438947,13.569902146858391,17.454302851678413,15.51 ? 2.97 (13.57-17.45)
ssp585,late_2080_2100,all4,Four crops,loss_pct,10,10,5.230407353287618,0.5863233007472632,4.867000406472124,5.593814300103112,5.23 ? 0.59 (4.87-5.59)
ssp585,late_2080_2100,all4,Four crops,loss_million_tonnes,10,10,68.68979923619337,7.6858003832479636,63.92609080511148,73.45350766727525,68.69 ? 7.69 (63.93-73.45)
ssp585,late_2080_2100,maiz,Maize,loss_pct,10,10,5.454469872645214,0.4554981697383688,5.172149182108614,5.736790563181815,5.45 ? 0.46 (5.17-5.74)
ssp585,late_2080_2100,maiz,Maize,loss_million_tonnes,10,10,30.154011400703787,2.5184104736111714,28.59308441745619,31.714938383951385,30.15 ? 2.52 (28.59-31.71)
ssp585,late_2080_2100,rice,Rice,loss_pct,10,10,7.31540108443073,0.5698259061173063,6.962219328743137,7.668582840118322,7.32 ? 0.57 (6.96-7.67)
ssp585,late_2080_2100,rice,Rice,loss_million_tonnes,10,10,15.542516963464236,1.3532084032661031,14.703789705636936,16.38124422129154,15.54 ? 1.35 (14.70-16.38)
ssp585,late_2080_2100,soyb,Soybean,loss_pct,10,10,3.1605774756527603,0.6238459236810359,2.773913766195405,3.5472411851101158,3.16 ? 0.62 (2.77-3.55)
ssp585,late_2080_2100,soyb,Soybean,loss_million_tonnes,10,10,4.673493588045128,0.9070847854422844,4.111276613280106,5.23571056281015,4.67 ? 0.91 (4.11-5.24)
ssp585,late_2080_2100,whea,Wheat,loss_pct,10,10,4.576827856423857,1.2024032581801365,3.83157059589994,5.322085116947774,4.58 ? 1.20 (3.83-5.32)
ssp585,late_2080_2100,whea,Wheat,loss_million_tonnes,10,10,18.319777283980223,4.791377855994613,15.350050521514524,21.28950404644592,18.32 ? 4.79 (15.35-21.29)
ssp585,mid_2050_2079,all4,Four crops,loss_pct,9,9,4.424197785714323,0.406408051708391,4.158677858598175,4.689717712830472,4.42 ? 0.41 (4.16-4.69)
ssp585,mid_2050_2079,all4,Four crops,loss_million_tonnes,9,9,58.15082100090914,5.296212372857668,54.6906289173088,61.61101308450948,58.15 ? 5.30 (54.69-61.61)
ssp585,mid_2050_2079,maiz,Maize,loss_pct,9,9,4.588068201217504,0.3592244822496066,4.353374872814428,4.82276152962058,4.59 ? 0.36 (4.35-4.82)
ssp585,mid_2050_2079,maiz,Maize,loss_million_tonnes,9,9,25.40331087129963,1.988082200121866,24.104430500553345,26.70219124204592,25.40 ? 1.99 (24.10-26.70)
